PLOT,Location,SPECIES,ORIGIN
2-01,Reference,CARELYN,native
2-01,Reference,LYCOAME,native
2-01,Reference,AGROSTO,exotic
2-01,Reference,TYPHLAT,native
2-01,Reference,GLYCGRA,native
2-02,Reference,CARELYN,native
2-02,Reference,SCIRACU,native
2-02,Reference,TYPHLAT,native
2-02,Reference,LYTHSAL,exotic
2-02,Reference,SYMPSUB,native
2-02,Reference,POTEANS,native
2-02,Reference,LATHPAL,native
2-02,Reference,JUNCBAL,native
2-02,Reference,LYCOAME,native
2-02,Reference,PHALARU,exotic
2-03,Reference,SCIRACU,native
2-03,Reference,LYTHSAL,exotic
2-03,Reference,POTEANS,native
2-03,Reference,SYMPSUB,native
2-03,Reference,LYCOAME,native
2-03,Reference,LATHPAL,native
2-03,Reference,TYPHLAT,native
2-03,Reference,JUNCBAL,native
2-03,Reference,CARELYN,native
2-03,Reference,AGROSTO,exotic
2-04,Reference,LYTHSAL,exotic
2-04,Reference,JUNCBAL,native
2-04,Reference,SIDAHEN,native
2-04,Reference,LYSITER,native
2-04,Reference,TRIFWOR,native
2-04,Reference,CARELYN,native
2-04,Reference,ALISTRI,native
2-04,Reference,OENASAR,native
2-04,Reference,POTEANS,native
2-04,Reference,IRISPSE,exotic
2-04,Reference,MENYTRI,native
2-04,Reference,TRIGMAR,native
2-04,Reference,LYCOAME,native
2-04,Reference,AGROSTO,exotic
2-05,Reference,OENASAR,native
2-05,Reference,CARELYN,native
2-05,Reference,MENYTRI,native
2-05,Reference,TRIFWOR,native
2-05,Reference,POTEANS,native
2-05,Reference,LYTHSAL,exotic
2-05,Reference,AGROSTO,exotic
2-05,Reference,ALISTRI,native
2-05,Reference,TRIGMAR,native
2-06,Reference,LATHPAL,native
2-06,Reference,LYTHSAL,exotic
2-06,Reference,LYCOAME,native
2-06,Reference,TYPHLAT,native
2-06,Reference,SIDAHEN,native
2-06,Reference,CARELYN,native
2-06,Reference,SYMPSUB,native
2-06,Reference,POTEANS,native
2-07,Reference,CARELYN,native
2-07,Reference,POTEANS,native
2-07,Reference,AGROSTO,exotic
2-07,Reference,TYPHANG,exotic
2-07,Reference,TYPHLAT,native
2-07,Reference,TRIFWOR,native
2-07,Reference,SAGILAT,native
2-07,Reference,EQUIFLU,native
