PLOT,SPEC/SUB,ORIGIN,,,,,,
1-02A,AGROSTO,exotic,,,,,,
1-03A,AGROSTO,exotic,,,,,,
1-03B,AGROSTO,exotic,,,,,,
8-01B,ALISTRI,native,,,,,,
1-01A,ALISTRI,native,,,,,,
1-01B,ALISTRI,native,,,,,,
2-03A,ALISTRI,native,,,,,,
2-03B,ALISTRI,native,,,,,,
1-03A,ALISTRI,native,,,,,,
1-03B,ALISTRI,native,,,,,,
5-03A,ALISTRI,native,,,,,,
5-03B,ALISTRI,native,,,,,,
7-04A,ALISTRI,native,,,,,,
9-04A,ALISTRI,native,,,,,,
9-04B,ALISTRI,native,,,,,,
8-03A,ALISTRI,native,,,,,,
8-03B,ALISTRI,native,,,,,,
8-01A,ALISTRI,native,,,,,,
1-02A,BIDECER,native,,,,,,
2-03A,BIDECER,native,,,,,,
1-03B,BIDECER,native,,,,,,
2-03A,CARELYN,native,,,,,,
4-04A,CARELYN,native,,,,,,
5-04A,CARELYN,native,,,,,,
6-01A,CARELYN,native,,,,,,
6-01B,CARELYN,native,,,,,,
6-02B,CARELYN,native,,,,,,
6-03A,CARELYN,native,,,,,,
7-02A,CARELYN,native,,,,,,
1-01A,ELEOPAL,native,,,,,,
2-03B,ELEOPAL,native,,,,,,
1-03A,ELEOPAL,native,,,,,,
1-03B,ELEOPAL,native,,,,,,
5-01A,EQUIARV,native,,,,,,
1-02A,IRISPSE,exotic,,,,,,
1-02B,IRISPSE,exotic,,,,,,
1-04A,IRISPSE,exotic,,,,,,
1-04B,IRISPSE,exotic,,,,,,
2-04A,IRISPSE,exotic,,,,,,
4-03A,IRISPSE,exotic,,,,,,
4-03B,IRISPSE,exotic,,,,,,
6-03B,IRISPSE,exotic,,,,,,
9-04B,IRISPSE,exotic,,,,,,
5-03B,LILIOCC,native,,,,,,
1-02A,LYTHSAL,exotic,,,,,,
1-02B,LYTHSAL,exotic,,,,,,
1-04A,LYTHSAL,exotic,,,,,,
1-04B,LYTHSAL,exotic,,,,,,
2-02A,LYTHSAL,exotic,,,,,,
2-02B,LYTHSAL,exotic,,,,,,
2-01A,LYTHSAL,exotic,,,,,,
2-04A,LYTHSAL,exotic,,,,,,
2-04B,LYTHSAL,exotic,,,,,,
3-01A,LYTHSAL,exotic,,,,,,
3-01B,LYTHSAL,exotic,,,,,,
3-03A,LYTHSAL,exotic,,,,,,
3-03B,LYTHSAL,exotic,,,,,,
4-04A,LYTHSAL,exotic,,,,,,
4-04B,LYTHSAL,exotic,,,,,,
4-03B,LYTHSAL,exotic,,,,,,
5-01A,LYTHSAL,exotic,,,,,,
5-01B,LYTHSAL,exotic,,,,,,
5-04A,LYTHSAL,exotic,,,,,,
5-04B,LYTHSAL,exotic,,,,,,
5-02B,LYTHSAL,exotic,,,,,,
6-02A,LYTHSAL,exotic,,,,,,
6-02B,LYTHSAL,exotic,,,,,,
7-03A,LYTHSAL,exotic,,,,,,
7-02A,LYTHSAL,exotic,,,,,,
7-02B,LYTHSAL,exotic,,,,,,
7-01B,LYTHSAL,exotic,,,,,,
8-02A,LYTHSAL,exotic,,,,,,
8-02B,LYTHSAL,exotic,,,,,,
9-03A,LYTHSAL,exotic,,,,,,
8-04B,LYTHSAL,exotic,,,,,,
1-01A,OENASAR,native,,,,,,
1-01B,OENASAR,native,,,,,,
4-02A,OENASAR,native,,,,,,
8-03A,OENASAR,native,,,,,,
8-03B,OENASAR,native,,,,,,
1-02B,PERSAMP,native,,,,,,
2-02A,PERSAMP,native,,,,,,
2-02B,PERSAMP,native,,,,,,
2-01B,PERSAMP,native,,,,,,
3-01B,PERSAMP,native,,,,,,
3-03A,PERSAMP,native,,,,,,
3-03B,PERSAMP,native,,,,,,
4-02A,PERSAMP,native,,,,,,
4-04A,PERSAMP,native,,,,,,
4-04B,PERSAMP,native,,,,,,
5-01A,PERSAMP,native,,,,,,
5-01B,PERSAMP,native,,,,,,
5-04A,PERSAMP,native,,,,,,
5-04B,PERSAMP,native,,,,,,
6-02A,PERSAMP,native,,,,,,
6-02B,PERSAMP,native,,,,,,
7-02A,PERSAMP,native,,,,,,
7-02B,PERSAMP,native,,,,,,
7-01A,PERSAMP,native,,,,,,
7-01B,PERSAMP,native,,,,,,
8-02B,PERSAMP,native,,,,,,
8-04B,PERSAMP,native,,,,,,
1-02A,PHALARU,exotic,,,,,,
1-02B,PHALARU,exotic,,,,,,
1-04A,PHALARU,exotic,,,,,,
1-04B,PHALARU,exotic,,,,,,
2-02A,PHALARU,exotic,,,,,,
2-02B,PHALARU,exotic,,,,,,
3-03A,PHALARU,exotic,,,,,,
3-03B,PHALARU,exotic,,,,,,
4-04B,PHALARU,exotic,,,,,,
5-01A,PHALARU,exotic,,,,,,
5-04A,PHALARU,exotic,,,,,,
6-02A,PHALARU,exotic,,,,,,
6-04B,PHALARU,exotic,,,,,,
7-03A,PHALARU,exotic,,,,,,
7-03B,PHALARU,exotic,,,,,,
7-01B,PHALARU,exotic,,,,,,
4-04A,POTEANS,native,,,,,,
2-03A,SAGILAT,native,,,,,,
2-03B,SAGILAT,native,,,,,,
1-03A,SAGILAT,native,,,,,,
1-03B,SAGILAT,native,,,,,,
5-03B,SAGILAT,native,,,,,,
6-04A,SAGILAT,native,,,,,,
9-04B,SAGILAT,native,,,,,,
4-04A,SCIRACU,native,,,,,,
6-01A,SCIRACU,native,,,,,,
6-01B,SCIRACU,native,,,,,,
8-02B,SCIRACU,native,,,,,,
9-02B,SCIRACU,native,,,,,,
8-04B,SCIRACU,native,,,,,,
8-03B,SCIRACU,native,,,,,,
1-01A,TYPHANG,exotic,,,,,,
5-04A,TYPHANG,exotic,,,,,,
6-01B,TYPHANG,exotic,,,,,,
7-02B,TYPHANG 10,exotic,,,,,,
6-01A,TYPHANG 90,exotic,,,,,,
1-01A,TYPHGLA,exotic,,,,,,
1-01B,TYPHGLA,exotic,,,,,,
1-02A,TYPHGLA,exotic,,,,,,
1-02B,TYPHGLA,exotic,,,,,,
1-04A,TYPHGLA,exotic,,,,,,
