PLOT,SPECIES,ORIGIN
2-C1,TYGL,exotic
2-C1,LYSA,exotic
2-C2,TYGL,exotic
2-C2,LYSA,exotic
2-C3,IRPS,exotic
2-C3,TYGL,exotic
2-B2,TYAN,exotic
2-B3,TYAN,exotic
2-B3,LYSA,exotic
2-B1,TYGL,exotic
2-A2,TYAN,exotic
2-A2,TYGL,exotic
2-A2,LYSA,exotic
2-A3,TYAN,exotic
2-A3,TYGL,exotic
2-A1,LYSA,exotic
1-A3,TYAN,exotic
1-A3,TYGL,exotic
1-A1,TYAN,exotic
1-A1,LYSA,exotic
1-A2,TYAN,exotic
1-B3,TYGL,exotic
1-B3,TYAN,exotic
1-B3,IRPS,exotic
1-B2,TYAN,exotic
1-B1,TYGL,exotic
1-B1,TYAN,exotic
1-C3,TYGL,exotic
1-C1,TYAN,exotic
1-C1,IRPS,exotic
1-C2,TYAN ,exotic
3-C2,TYGL,exotic
3-C3,TYGL,exotic
3-C1,TYAN,exotic
3-B3,TYGL,exotic
3-B2,TYGL,exotic
3-B1,TYGL,exotic
3-A2,TYGL,exotic
3-A3,TYGL,exotic
2-A1,TYAN,exotic
2-C1,LYAM,native
2-C3,CALY,native
2-A2,LYAM,native
2-A1,CALY,native
2-A1,ELPA,native
1-B2,TYLA,native
1-B1,POAN,native
3-C2,CALY,native
3-C1,TYLA,native
3-C1,SALA,native
3-C1,CALY,native
3-C1,BICE,native
3-B3,SCAC,native
3-B3,OESA,native
3-B3,ALTR,native
3-B2,SALA,native
3-B2,TYLA,native
3-B2,CALY,native
3-B2,ELPA,native
3-A1,TYLA,native
