gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2550055144	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37281056	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		CA		Ontario			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.738418	-79.328855	5.0						2020-01-04T12:00:00Z	4	1	2020	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	37281056			2020-01-04T22:47:36Z	CC_BY_NC_4_0	Paul Abell	Paul Abell			2020-01-15T18:48:33.962Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2543094906	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37202660	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		US		Michigan			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.649318	-84.507298							2020-01-02T12:13:00Z	2	1	2020	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	37202660			2020-01-02T20:40:23Z	CC_BY_NC_4_0	Patrick Hanly	Patrick Hanly			2020-01-15T18:49:31.346Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2543076909	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37141740	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		US		Illinois			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.218007	-88.140455	31.0						2019-12-30T09:19:00Z	30	12	2019	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	37141740			2019-12-31T22:54:08Z	CC_BY_NC_4_0	John Boldt	John Boldt			2020-01-15T18:49:31.391Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2543023212	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/36993118	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		US		Illinois			28eb1a3f-1c15-4a95-931a-4af90ecb574d	41.994894	-87.765009	6.0						2019-12-26T20:05:24Z	26	12	2019	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	36993118			2019-12-27T07:31:34Z	CC_BY_NC_4_0	dziomber	dziomber			2020-01-15T18:48:01.476Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542968848	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37141711	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		US		Illinois			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.226533	-88.169794	61.0						2019-12-30T08:49:00Z	30	12	2019	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	37141711			2019-12-31T23:01:12Z	CC_BY_NC_4_0	John Boldt	John Boldt			2020-01-15T18:47:48.955Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542953002	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/3631480	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		US		Michigan			28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.677017	-84.779141	5.0						2016-07-05T16:41:50Z	5	7	2016	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	3631480			2019-01-03T15:07:33Z	CC_BY_NC_4_0	teal27	teal27			2020-01-15T18:47:26.148Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542947313	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37193304	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		US		Michigan			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.691885	-84.440225							2020-01-02T08:48:00Z	2	1	2020	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	37193304			2020-01-02T15:57:19Z	CC_BY_NC_4_0	Patrick Hanly	Patrick Hanly			2020-01-15T18:48:39.466Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2542933059	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37208981	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		CA		Ontario			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.037831	-81.268866	2.0						2020-01-02T15:28:00Z	2	1	2020	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	37208981			2020-01-03T00:08:28Z	CC_BY_NC_4_0	Quinten Wiegersma	Quinten Wiegersma			2020-01-15T18:47:58.681Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542878244	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/15355367	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		US		New York			28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.479958	-76.449295							2016-07-14T08:57:00Z	14	7	2016	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	15355367			2019-01-03T15:07:35Z	CC_BY_NC_4_0	stinger	stinger			2020-01-15T18:48:43.741Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2518106302	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/3637869	Plantae	Tracheophyta	Liliopsida	Poales	Typhaceae	Typha	Typha glauca		SPECIES	Typha glauca Godr.	Typha × glauca		US		Michigan			28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.441909	-84.556983	5.0						2016-07-07T12:37:39Z	7	7	2016	8960288	8960288	HUMAN_OBSERVATION	iNaturalist	Observations	3637869			2019-01-03T15:07:34Z	CC_BY_NC_4_0	teal27	teal27			2020-01-15T18:48:28.716Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
