gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1703288543,b22b10e7-86da-4b80-8f49-f3f958a2463d,WIN:265322,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ??glauca Godron,(Engelmann) Nieuwland & Lunell,CA,"Delta Marsh, University Field Station, Lake Manitoba. Marsh at beginning of channel to Forester's Bay",Manitoba,,,38105fdf-4886-4c2e-9c7c-2bcb091411a5,50.14989385,-98.36726898,10000,,,,,,8/18/1982 17:00,19,8,1982,8960288,8960288,PRESERVED_SPECIMEN,University of Manitoba,WIN,41174,8255,M. Fesser,,CC0_1_0,University of Manitoba,M. Fesser,,,11/13/2019 12:32,,COORDINATE_REPROJECTED
1899374910,d9522343-146c-4d6b-b312-543d4d8ca0e8,95111c4c-0d0b-446d-adcd-defe60784091,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha glauca Godron,Godron,CA,"Georgina Tp., Holland River Marsh ANSI, Cook's Bay, Lake Simcoe",Ontario,,,ff418020-1d67-11d9-8435-b8a03c50a862,44.2,-79.516667,1778,,,,,,7/9/1983 17:00,10,7,1983,8960288,8960288,PRESERVED_SPECIMEN,Royal Ontario Museum,TRT,255016,,"Varga, S.",12/31/1982 16:00,CC0_1_0,Royal Ontario Museum (ROM),"Varga, S., Lindsay, K.",,,11/13/2019 12:46,,COORDINATE_ROUNDED
606652685,5288946d-5fcf-4b53-8fd3-74f4cc6b53fc,,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha glauca Godr.,,US,Lyme,Connecticut,,,1ef55060-54da-11dd-9d47-b8a03c50a862,41.3975,-72.34666,5000,,7.0,0.0,,,8/1/1983 17:00,2,8,1983,8960288,8960288,PRESERVED_SPECIMEN,UConn,CONN,,8579,,,CC_BY_4_0,,Leslie J. Mehrhoff,,,11/13/2019 13:24,,GEODETIC_DATUM_ASSUMED_WGS84
1804568124,1e61b812-b2ec-43d0-bdbb-8534a761f74c,d01c829b-b4eb-4eb4-41ac-b0979fd58049,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ??glauca,Godr.,CA,The Pas  15.75 km north of the Saskatchewan River  3.55 km south of Provincial Road 287.,Manitoba (Prov.),,1,a41250f0-7c3e-11d8-a19c-b8a03c50a862,53.833333,-101.25,,,,,,,9/2/1985 17:00,3,9,1985,8960288,8960288,PRESERVED_SPECIMEN,CMN,CAN,,15443,"Dugal, A.W.",12/31/1986 16:00,CC_BY_4_0,Canadian Museum of Nature,"Schueler, Frederick W.; Barker, B.M.",,,1/14/2020 11:36,,GEODETIC_DATUM_ASSUMED_WGS84
1703288894,b22b10e7-86da-4b80-8f49-f3f958a2463d,WIN:265702,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ??glauca Godron,(Engelmann) Nieuwland & Lunell,CA,"Delta Marsh, University of Manitoba Field Station, Lake Manitoba",Manitoba,,,38105fdf-4886-4c2e-9c7c-2bcb091411a5,50.19989479,-98.20026401,10000,,,,,,7/29/1985 17:00,30,7,1985,8960288,8960288,PRESERVED_SPECIMEN,University of Manitoba,WIN,44067,3,Robert Berger,,CC0_1_0,University of Manitoba,Robert Berger,,,11/13/2019 12:32,,COORDINATE_REPROJECTED
1804513608,1e61b812-b2ec-43d0-bdbb-8534a761f74c,99181d2f-61a8-1a84-5381-b868c6c969a7,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ??glauca,Godr.,CA,Oak Lake Provincial Recreational Area  2 km north of  27 km south of Hwy 1 along Hwy 254.,Manitoba (Prov.),,1,a41250f0-7c3e-11d8-a19c-b8a03c50a862,49.7,-100.716667,,,,,,,7/6/1986 17:00,7,7,1986,8960288,8960288,PRESERVED_SPECIMEN,CMN,CAN,,16447,"Smith, S. Galen",12/31/1998 16:00,CC_BY_4_0,Canadian Museum of Nature,"Schueler, Frederick W.",,,1/14/2020 11:36,,GEODETIC_DATUM_ASSUMED_WGS84
1804416073,1e61b812-b2ec-43d0-bdbb-8534a761f74c,3584d981-952a-52a4-27a7-365e3dc900ef,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ??glauca,Godr.,CA,"Price Creek  250-750 m W of, along Hwy 11, 4.4 km E of Seine River, 21.5 km W of Banning Lake Road.",Ontario (Prov.),,1,a41250f0-7c3e-11d8-a19c-b8a03c50a862,48.733333,-92.233333,,,,,,,7/31/1986 17:00,1,8,1986,8960288,8960288,PRESERVED_SPECIMEN,CMN,CAN,,,"Smith, S. Galen",12/31/1998 16:00,CC_BY_4_0,Canadian Museum of Nature,"Schueler, Frederick W.",,,1/14/2020 11:36,,GEODETIC_DATUM_ASSUMED_WGS84
1804413009,1e61b812-b2ec-43d0-bdbb-8534a761f74c,3265429d-38eb-8eb4-4983-b7766cbac286,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ??glauca,Godr.,CA,Mine Centre  950 m west of Mine Centre Road along Hwy 11.,Ontario (Prov.),,1,a41250f0-7c3e-11d8-a19c-b8a03c50a862,48.75,-92.616667,,,,,,,7/31/1986 17:00,1,8,1986,8960288,8960288,PRESERVED_SPECIMEN,CMN,CAN,,16614,"Smith, S. Galen",12/31/1998 16:00,CC_BY_4_0,Canadian Museum of Nature,"Schueler, Frederick W.",,,1/14/2020 11:36,,GEODETIC_DATUM_ASSUMED_WGS84
1804378679,1e61b812-b2ec-43d0-bdbb-8534a761f74c,0f88864b-a686-6864-44ab-7e2cfde8c400,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ??glauca,Godr.,CA,"Tower Lake  0.5 km north of, 11.3 km south of Rushing River  39.3 km N Sioux Narrows bridge, along Hwy 71.",Ontario (Prov.),,1,a41250f0-7c3e-11d8-a19c-b8a03c50a862,49.633333,-94.1,,,,,,,7/25/1986 17:00,26,7,1986,8960288,8960288,PRESERVED_SPECIMEN,CMN,CAN,,16549,"Smith, S. Galen",12/31/1998 16:00,CC_BY_4_0,Canadian Museum of Nature,"Schueler, Frederick W.",,,1/14/2020 11:36,,GEODETIC_DATUM_ASSUMED_WGS84
1703290479,b22b10e7-86da-4b80-8f49-f3f958a2463d,WIN:267345,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha glauca,,SPECIES,Typha glauca Godr.,Typha ??glauca Godron,(Engelmann) Nieuwland & Lunell,CA,"Golden Pond, Pine Falls",Manitoba,,,38105fdf-4886-4c2e-9c7c-2bcb091411a5,50.655,-96.106667,10000,,,,,,6/8/1988 17:00,9,6,1988,8960288,8960288,PRESERVED_SPECIMEN,University of Manitoba,WIN,50087,PF-TVS-88-10,Todd V. Stevens,,CC0_1_0,University of Manitoba,Todd V. Stevens,,,11/13/2019 12:32,,COORDINATE_ROUNDED;COORDINATE_REPROJECTED
