"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"1555707","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","41.7566","-83.47662","reported","Accurate","Lake Erie","04120200","2013","7","27","established","<a href = http://www.misin.msu.edu/browse/record.php?id=516098 target = _blank >MISIN report ID 516098</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1555709","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","41.75695","-83.47767","reported","Accurate","Lake Erie","04120200","2013","7","27","established","<a href = http://www.misin.msu.edu/browse/record.php?id=516097 target = _blank >MISIN report ID 516097</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558739","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.84598","-87.55811","reported","Accurate","Lake Michigan","04060200","2013","7","6","established","<a href = http://www.misin.msu.edu/browse/record.php?id=514978 target = _blank >MISIN report ID 514978</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558743","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.84619","-87.55705","reported","Accurate","Lake Michigan","04060200","2013","7","6","established","<a href = http://www.misin.msu.edu/browse/record.php?id=514993 target = _blank >MISIN report ID 514993</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558746","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.84632","-87.55709","reported","Accurate","Lake Michigan","04060200","2013","7","6","established","<a href = http://www.misin.msu.edu/browse/record.php?id=514992 target = _blank >MISIN report ID 514992</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558760","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.84665","-87.5553","reported","Accurate","Door-Kewaunee","04030102","2013","7","6","established","<a href = http://www.misin.msu.edu/browse/record.php?id=514999 target = _blank >MISIN report ID 514999</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560391","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","46.52402","-84.16343","reported","Accurate","St. Marys","04070001","2013","7","22","established","<a href = http://www.misin.msu.edu/browse/record.php?id=514004 target = _blank >MISIN report ID 514004</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1557252","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","43.74112","-83.9481","reported","Accurate","Lake Huron","04080300","2013","7","18","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513113 target = _blank >MISIN report ID 513113</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1557256","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","43.74126","-83.94769","reported","Accurate","Lake Huron","04080300","2013","7","18","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513120 target = _blank >MISIN report ID 513120</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1557258","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","43.74127","-83.94758","reported","Accurate","Lake Huron","04080300","2013","7","18","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513123 target = _blank >MISIN report ID 513123</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560039","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.99173","-83.85669","reported","Accurate","Lake Huron","04080300","2013","7","24","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513667 target = _blank >MISIN report ID 513667</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560040","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.99175","-83.8567","reported","Accurate","Lake Huron","04080300","2013","7","24","established","n=3 aggregate IDs by 1e-04  decimal accuracy, from 2013-07-24 to 2013-07-24; <a href = http://www.misin.msu.edu/browse/record.php?id=513666 target = _blank >MISIN report ID 513666</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559755","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.78012","-87.0615","reported","Accurate","Tacoosh-Whitefish","04030111","2013","7","19","established","<a href = http://www.misin.msu.edu/browse/record.php?id=515236 target = _blank >MISIN report ID 515236</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559759","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.78038","-87.06232","reported","Accurate","Tacoosh-Whitefish","04030111","2013","7","19","established","<a href = http://www.misin.msu.edu/browse/record.php?id=515230 target = _blank >MISIN report ID 515230</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559574","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.34946","-83.58379","reported","Accurate","Lake Huron","04080300","2013","7","16","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513297 target = _blank >MISIN report ID 513297</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559951","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.98261","-84.31768","reported","Accurate","Lake Huron","04080300","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513606 target = _blank >MISIN report ID 513606</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559952","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.98267","-84.31761","reported","Accurate","Lake Huron","04080300","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513605 target = _blank >MISIN report ID 513605</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559953","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.98274","-84.31753","reported","Accurate","Lake Huron","04080300","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513604 target = _blank >MISIN report ID 513604</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559955","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.98276","-84.31943","reported","Accurate","Lake Huron","04080300","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513587 target = _blank >MISIN report ID 513587</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559956","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.98284","-84.31738","reported","Accurate","Lake Huron","04080300","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513603 target = _blank >MISIN report ID 513603</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559968","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.98462","-84.31982","reported","Accurate","Lake Huron","04080300","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513593 target = _blank >MISIN report ID 513593</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559972","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.98465","-84.31977","reported","Accurate","Lake Huron","04080300","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513595 target = _blank >MISIN report ID 513595</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559974","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.98469","-84.3197","reported","Accurate","Lake Huron","04080300","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513597 target = _blank >MISIN report ID 513597</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559975","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.98472","-84.31965","reported","Accurate","Lake Huron","04080300","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513598 target = _blank >MISIN report ID 513598</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560271","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","46.20424","-84.25196","reported","Accurate","St. Marys","04070001","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513795 target = _blank >MISIN report ID 513795</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560275","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","46.20475","-84.25236","reported","Accurate","St. Marys","04070001","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513789 target = _blank >MISIN report ID 513789</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560266","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","46.20348","-84.25096","reported","Accurate","St. Marys","04070001","2013","6","26","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513807 target = _blank >MISIN report ID 513807</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558538","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.76304","-87.9379","reported","Accurate","Lake Michigan","04060200","2013","7","9","established","<a href = http://www.misin.msu.edu/browse/record.php?id=515125 target = _blank >MISIN report ID 515125</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558697","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.82863","-87.56238","reported","Accurate","Lake Michigan","04060200","2013","7","8","established","<a href = http://www.misin.msu.edu/browse/record.php?id=514943 target = _blank >MISIN report ID 514943</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558700","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.82866","-87.56236","reported","Accurate","Lake Michigan","04060200","2013","7","8","established","<a href = http://www.misin.msu.edu/browse/record.php?id=514946 target = _blank >MISIN report ID 514946</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558705","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.8287","-87.5623","reported","Accurate","Lake Michigan","04060200","2013","7","8","established","<a href = http://www.misin.msu.edu/browse/record.php?id=514949 target = _blank >MISIN report ID 514949</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558707","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.82878","-87.56219","reported","Accurate","Lake Michigan","04060200","2013","7","8","established","<a href = http://www.misin.msu.edu/browse/record.php?id=514951 target = _blank >MISIN report ID 514951</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
